ADANIPORTS,JSWSTEEL,ADANIPORTSJSWSTEEL_residual,date,ADANIPORTSJSWSTEEL_prev_residual,APOLLOHOSP,HDFCBANK,APOLLOHOSPHDFCBANK_residual,APOLLOHOSPHDFCBANK_prev_residual,ASIANPAINT,BAJFINANCE,ASIANPAINTBAJFINANCE_residual,ASIANPAINTBAJFINANCE_prev_residual,KOTAKBANK,BAJFINANCEKOTAKBANK_residual,BAJFINANCEKOTAKBANK_prev_residual,EICHERMOT,MARUTI,EICHERMOTMARUTI_residual,EICHERMOTMARUTI_prev_residual,GRASIM,POWERGRID,GRASIMPOWERGRID_residual,GRASIMPOWERGRID_prev_residual,HCLTECH,INFY,HCLTECHINFY_residual,HCLTECHINFY_prev_residual,ICICIBANK,TITAN,ICICIBANKTITAN_residual,ICICIBANKTITAN_prev_residual,TCS,INFYTCS_residual,INFYTCS_prev_residual,SUNPHARMA,POWERGRIDSUNPHARMA_residual,POWERGRIDSUNPHARMA_prev_residual
822.2999877929688,775.2999877929688,1.241748780243016,2023-01-02,,4454.35009765625,1628.699951171875,0.6994740101309164,,3047.25,6553.75,-0.05969420820509359,,1825.050048828125,-0.4265580872574954,,3228.85009765625,8403.2998046875,-0.3758291276271085,,1724.4432373046875,161.28750610351562,0.5656822539455152,,1039.449951171875,1524.0,0.08435389449350543,,902.4500122070312,2565.75,-0.674173135194285,,3261.449951171875,-0.4009571951699971,,997.0,1.5014124210129463,
820.4500122070312,767.9000244140625,1.1482453306026794,2023-01-03,1.241748780243016,4490.89990234375,1639.3499755859375,0.7337391986898518,0.6994740101309164,3028.25,6606.25,0.14153506667703084,-0.05969420820509359,1832.8499755859373,-0.4312096130734631,-0.4265580872574954,3213.449951171875,8382.75,-0.3667779226650116,-0.3758291276271085,1710.2496337890625,161.6999969482422,0.674467405315892,0.5656822539455152,1041.3499755859375,1522.550048828125,0.023949563948405136,0.08435389449350543,901.3499755859376,2613.60009765625,-0.3731343357000115,-0.674173135194285,3311.35009765625,-0.09732329408367962,-0.4009571951699971,1009.0999755859376,1.6148173621339938,1.5014124210129463
810.0,736.2999877929688,0.7891344873171212,2023-01-04,1.1482453306026794,4433.2998046875,1610.050048828125,0.5916657633913289,0.7337391986898518,3016.85009765625,6571.0,0.12745763849099973,0.14153506667703084,1820.75,-0.48342817852456704,-0.4312096130734631,3215.25,8422.7998046875,-0.31019245659941075,-0.3667779226650116,1683.6055908203125,158.28750610351562,0.4896244751791471,0.674467405315892,1036.5999755859375,1494.800048828125,-0.2433077662869034,0.023949563948405136,899.0999755859375,2597.550048828125,-0.4248563642609934,-0.3731343357000115,3314.64990234375,0.20686645702667314,-0.09732329408367962,1004.0999755859376,1.8316227593263752,1.6148173621339938
819.5999755859375,750.7000122070312,0.8765577281800042,2023-01-05,0.7891344873171212,4429.0498046875,1599.699951171875,0.5235642065858193,0.5916657633913289,3004.35009765625,6100.0498046875,-0.7610885970229758,0.12745763849099973,1820.300048828125,0.11889500594461413,-0.48342817852456704,3257.699951171875,8461.099609375,-0.3632301961987795,-0.31019245659941075,1691.573974609375,156.60000610351562,0.29326225675976353,0.4896244751791471,1044.0999755859375,1475.199951171875,-0.6667365553319107,-0.2433077662869034,879.1500244140625,2562.10009765625,-0.2573695508401672,-0.4248563642609934,3311.10009765625,0.38769236041355626,0.20686645702667314,1016.2000122070312,2.115815480054682,1.8316227593263752
806.0999755859375,728.3499755859375,0.7188130418760202,2023-01-06,0.8765577281800042,4387.4501953125,1594.4000244140625,0.5325665149591707,0.5235642065858193,2978.39990234375,5980.39990234375,-0.8727268125692557,-0.7610885970229758,1786.800048828125,0.002702108080564385,0.11889500594461413,3250.60009765625,8383.0498046875,-0.46405529987832494,-0.3632301961987795,1673.944091796875,156.0749969482422,0.3319889268871982,0.29326225675976353,1032.800048828125,1448.5,-0.7783993705572685,-0.6667365553319107,870.0999755859375,2538.10009765625,-0.22778568266218452,-0.2573695508401672,3211.550048828125,0.08597352040027816,0.38769236041355626,1008.7000122070312,2.0674271621381393,2.115815480054682
816.6500244140625,742.3499755859375,0.784637609643234,2023-01-09,0.7188130418760202,4407.7001953125,1597.5,0.5318438861749528,0.5325665149591707,2984.14990234375,5993.35009765625,-0.8753805273467639,-0.8727268125692557,1811.9000244140625,0.1884438463307358,0.002702108080564385,3262.550048828125,8377.0,-0.5047568002143141,-0.46405529987832494,1666.9718017578125,156.8249969482422,0.4362909742076577,0.3319889268871982,1067.449951171875,1484.449951171875,-1.0482011147550652,-0.7783993705572685,873.3499755859375,2484.64990234375,-0.6020681521702419,-0.22778568266218452,3319.949951171875,0.34386829186954043,0.08597352040027816,1016.8499755859376,2.1054112095596107,2.0674271621381393
796.4000244140625,745.2000122070312,1.150916188851863,2023-01-10,0.784637609643234,4466.64990234375,1568.300048828125,0.2607641051094703,0.5318438861749528,2960.35009765625,5904.14990234375,-0.9362937522199826,-0.8753805273467639,1795.550048828125,0.1713690377105125,0.1884438463307358,3167.550048828125,8293.150390625,-0.38321012401650856,-0.5047568002143141,1644.4613037109375,158.85000610351562,0.7362007489369037,0.4362909742076577,1063.8499755859375,1469.75,-1.1663459536793428,-1.0482011147550652,861.3499755859375,2468.199951171875,-0.4727710912703163,-0.6020681521702419,3286.39990234375,0.3007608247978616,0.34386829186954043,1011.8499755859376,1.879998240254748,2.1054112095596107
796.4500122070312,754.2000122070312,1.2992982979005063,2023-01-11,1.150916188851863,4360.60009765625,1590.9000244140625,0.5378195947693583,0.2607641051094703,2940.39990234375,5895.75,-0.8533028318811896,-0.9362937522199826,1801.8499755859373,0.23297894157284438,0.1713690377105125,3137.25,8284.4501953125,-0.3168163371069798,-0.38321012401650856,1628.574462890625,158.96249389648438,0.8255135900823015,0.7362007489369037,1054.800048828125,1471.25,-0.950708127509347,-1.1663459536793428,866.2999877929688,2437.39990234375,-0.7463186477736958,-0.4727710912703163,3328.699951171875,0.5301112303707493,0.3007608247978616,1028.0,2.066988721719229,1.879998240254748
792.9500122070312,763.4500122070312,1.507754445192213,2023-01-12,1.2992982979005063,4359.75,1599.4000244140625,0.598578374864178,0.5378195947693583,2915.949951171875,5898.39990234375,-0.7254496443531057,-0.8533028318811896,1779.5,0.04934100305094071,0.23297894157284438,3103.25,8369.2001953125,-0.09760492319598019,-0.3168163371069798,1635.8953857421875,160.125,0.8971975701653693,0.8255135900823015,1071.6500244140625,1480.5999755859375,-1.190323165347557,-0.950708127509347,860.6500244140625,2446.60009765625,-0.5861599118246172,-0.7463186477736958,3334.35009765625,0.46674555710055377,0.5301112303707493,1032.8499755859375,2.0313469771737718,2.066988721719229
794.6500244140625,768.5,1.5646711296926288,2023-01-13,1.507754445192213,4335.5498046875,1600.6500244140625,0.6343070838256581,0.598578374864178,2909.14990234375,5977.7998046875,-0.531016046400458,-0.7254496443531057,1780.300048828125,-0.046367939038830235,0.04934100305094071,3162.050048828125,8453.400390625,-0.12337821513179772,-0.09760492319598019,1648.5450439453125,160.5,0.8692526871120724,0.8971975701653693,1077.800048828125,1503.6500244140625,-1.015987801011275,-1.190323165347557,873.4500122070312,2417.199951171875,-0.9991350526948766,-0.5861599118246172,3374.550048828125,0.46254472195387153,0.46674555710055377,1031.5999755859375,1.98566815742416,2.0313469771737718
